,features,importance
25,騎手_国分恭介,0
78,race_name_2020ファイナルS ,0
79,race_name_2歳1勝クラス,0
24,騎手_国分優作,0
81,race_name_2歳未勝利,0
22,騎手_和田竜二,0
58,騎手_福永祐一,0
57,騎手_石川裕紀,0
56,騎手_石川倭,0
42,騎手_柴田善臣,0
33,騎手_嶋田純次,0
34,騎手_川島信二,0
35,騎手_戸崎圭太,0
36,騎手_服部茂史,0
37,騎手_木幡育也,0
38,騎手_杉原誠人,0
39,騎手_村田一誠,0
40,騎手_松田大作,0
41,騎手_柴山雄一,0
43,騎手_桑村真明,0
55,騎手_的場勇人,0
44,騎手_横山典弘,0
30,騎手_山本咲希,0
48,騎手_水口優也,0
49,騎手_江田照男,0
28,騎手_大庭和弥,0
51,騎手_浜中俊,0
52,騎手_田中勝春,0
53,騎手_田辺裕信,0
54,騎手_畑端省吾,0
84,race_name_3歳以上2勝クラス,0
85,race_name_3歳新馬,0
20,騎手_古川吉洋,0
122,race_name_すばるステークス(L),0
113,race_name_くすのき賞 ,0
114,race_name_こうやまき賞 ,0
115,race_name_こぶし賞 ,0
116,race_name_さくらんぼ特別 ,0
117,race_name_さざんか賞 ,0
118,race_name_さわらび賞 ,0
119,race_name_しゃくなげ賞 ,0
120,race_name_しらかばステークス ,0
121,race_name_すずらん賞 ,0
123,race_name_すみれステークス(L),0
111,race_name_かもめ島特別 ,0
124,race_name_つわぶき賞 ,0
125,race_name_ながつきステークス ,0
126,race_name_なでしこ賞 ,0
127,race_name_なにわステークス ,0
128,race_name_はこべら賞 ,0
129,race_name_ひまわり賞 ,0
130,race_name_ひめさゆり賞 ,0
131,race_name_みちのくステークス ,0
132,race_name_むらさき賞 ,0
112,race_name_ききょうステークス ,0
110,race_name_かささぎ賞 ,0
19,騎手_原優介,0
98,race_name_RKB賞 ,0
89,race_name_BSN賞(L),0
90,race_name_BSイレブン賞 ,0
91,race_name_HBC賞 ,0
92,race_name_HTB杯 ,0
93,race_name_HTB賞 ,0
94,race_name_JRAアニバーサリー ,0
95,race_name_Mテイエムオペラオー ,0
96,race_name_Mブエナビスタ ,0
97,race_name_NST賞 ,0
99,race_name_STV杯 ,0
109,race_name_いわき特別 ,0
100,race_name_STV賞 ,0
101,race_name_TVh杯 ,0
102,race_name_TVh賞 ,0
103,race_name_UHB杯 ,0
104,race_name_UHB賞 ,0
105,race_name_tvk賞 ,0
106,race_name_あざみ賞 ,0
107,race_name_あすなろ賞 ,0
108,race_name_あずさ賞 ,0
231,race_name_ヤングJSFR阪神2 ,0
232,race_name_ユートピアステークス ,0
233,race_name_ライラック賞 ,0
330,race_name_名鉄杯 ,0
356,race_name_大和ステークス ,0
357,race_name_大寒桜賞 ,0
358,race_name_大島特別 ,0
359,race_name_大府特別 ,0
360,race_name_大日岳特別 ,0
361,race_name_大沼ステークス(L),0
362,race_name_大津特別 ,0
363,race_name_大牟田特別 ,0
364,race_name_大通公園特別 ,0
365,race_name_大阪スポーツ杯 ,0
366,race_name_大阪ーハンブルクC ,0
367,race_name_大須特別 ,0
368,race_name_天の川賞 ,0
369,race_name_天ケ瀬特別 ,0
370,race_name_天保山ステークス ,0
371,race_name_天満橋ステークス ,0
372,race_name_天王寺特別 ,0
373,race_name_天王山ステークス ,0
374,race_name_天草特別 ,0
375,race_name_太宰府特別 ,0
376,race_name_太秦ステークス ,0
355,race_name_大倉山特別 ,0
354,race_name_多摩川ステークス ,0
353,race_name_夙川特別 ,0
341,race_name_国立特別 ,0
332,race_name_呉竹賞 ,0
333,race_name_周防灘特別 ,0
334,race_name_呼子特別 ,0
335,race_name_和布刈特別 ,0
336,race_name_唐戸特別 ,0
337,race_name_喜多方特別 ,0
338,race_name_噴火湾特別 ,0
339,race_name_四国新聞杯 ,0
340,race_name_国分寺特別 ,0
342,race_name_土湯温泉特別 ,0
352,race_name_外房ステークス ,0
343,race_name_垂水ステークス ,0
344,race_name_報知杯中京2歳S ,0
